support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
10,500,20,80,80.91,89.44,89.44
10,500,20,90,82.03,90.13,90.13
100,500,20,0,80.83,89.4,89.4
100,500,20,10,86.96,93.03,93.03
100,500,20,20,86.41,92.71,92.71
100,500,20,30,85.72,92.31,92.31
100,500,20,40,83.87,91.23,91.23
100,500,20,50,85.35,92.1,92.1
100,500,20,60,87.46,93.31,93.31
100,500,20,70,87.16,93.14,93.14
100,500,20,80,86.2,92.59,92.59
100,500,20,90,86.49,92.76,92.76
200,500,20,0,83.1,90.77,90.77
200,500,20,10,83.15,90.8,90.8
200,500,20,20,81.3,89.69,89.69
200,500,20,30,87.76,93.48,93.48
200,500,20,40,87.02,93.06,93.06
200,500,20,50,87.42,93.29,93.29
200,500,20,60,83.9,91.25,91.25
200,500,20,70,85.1,91.95,91.95
200,500,20,80,87.53,93.35,93.35
200,500,20,90,88.0,93.62,93.62
500,500,20,0,81.8,89.99,89.99
500,500,20,10,83.94,91.27,91.27
500,500,20,20,85.19,92.0,92.0
500,500,20,30,83.64,91.09,91.09
500,500,20,40,85.35,92.1,92.1
500,500,20,50,84.62,91.67,91.67
500,500,20,60,86.16,92.56,92.56
500,500,20,70,87.37,93.26,93.26
500,500,20,80,85.65,92.27,92.27
500,500,20,90,85.77,92.34,92.34
10,500,30,0,84.95,91.86,91.86
10,500,30,10,83.88,91.23,91.23
10,500,30,20,87.1,93.11,93.11
10,500,30,30,85.32,92.08,92.08
10,500,30,40,85.64,92.27,92.27
10,500,30,50,83.88,91.23,91.23
10,500,30,60,84.97,91.87,91.87
10,500,30,70,86.15,92.56,92.56
10,500,30,80,84.81,91.78,91.78
10,500,30,90,81.79,89.99,89.99
100,500,30,0,85.34,92.09,92.09
100,500,30,10,85.4,92.13,92.13
100,500,30,20,87.34,93.24,93.24
100,500,30,30,88.5,93.9,93.9
100,500,30,40,85.32,92.08,92.08
100,500,30,50,83.72,91.14,91.14
100,500,30,60,86.48,92.75,92.75
100,500,30,70,86.18,92.58,92.58
100,500,30,80,88.37,93.82,93.82
100,500,30,90,88.36,93.82,93.82
200,500,30,0,83.51,91.01,91.01
200,500,30,10,71.27,83.23,83.23
200,500,30,20,84.24,91.44,91.44
200,500,30,30,89.11,94.24,94.24
200,500,30,40,85.9,92.42,92.42
200,500,30,50,86.99,93.04,93.04
200,500,30,60,84.52,91.61,91.61
200,500,30,70,86.97,93.03,93.03
200,500,30,80,84.31,91.49,91.49
200,500,30,90,88.56,93.93,93.93
500,500,30,0,86.13,92.55,92.55
500,500,30,10,69.74,82.17,82.17
500,500,30,20,85.86,92.39,92.39
500,500,30,30,86.98,93.04,93.04
500,500,30,40,86.08,92.52,92.52
500,500,30,50,86.13,92.55,92.55
500,500,30,60,84.25,91.45,91.45
500,500,30,70,86.88,92.98,92.98
500,500,30,80,88.57,93.94,93.94
500,500,30,90,82.88,90.64,90.64
10,500,40,0,83.94,91.27,91.27
10,500,40,10,85.22,92.02,92.02
10,500,40,20,86.71,92.88,92.88
10,500,40,30,86.77,92.92,92.92
10,500,40,40,85.83,92.38,92.38
10,500,40,50,86.12,92.54,92.54
10,500,40,60,85.46,92.16,92.16
10,500,40,70,83.27,90.87,90.87
10,500,40,80,83.91,91.25,91.25
10,500,40,90,86.47,92.74,92.74
100,500,40,0,81.7,89.93,89.93
100,500,40,10,87.12,93.11,93.11
100,500,40,20,83.67,91.11,91.11
100,500,40,30,83.54,91.03,91.03
100,500,40,40,85.18,92.0,92.0
100,500,40,50,87.28,93.21,93.21
100,500,40,60,87.7,93.45,93.45
100,500,40,70,87.76,93.48,93.48
100,500,40,80,86.47,92.75,92.75
100,500,40,90,86.44,92.73,92.73
200,500,40,0,81.63,89.88,89.88
200,500,40,10,85.06,91.93,91.93
200,500,40,20,85.23,92.02,92.02
200,500,40,30,85.7,92.3,92.3
200,500,40,40,87.41,93.28,93.28
200,500,40,50,84.63,91.68,91.68
200,500,40,60,82.57,90.45,90.45
200,500,40,70,85.3,92.07,92.07
200,500,40,80,84.66,91.69,91.69
200,500,40,90,80.86,89.42,89.42
500,500,40,0,79.64,88.67,88.67
500,500,40,10,78.2,87.77,87.77
500,500,40,20,84.33,91.5,91.5
500,500,40,30,87.21,93.17,93.17
500,500,40,40,84.42,91.55,91.55
500,500,40,50,88.53,93.92,93.92
500,500,40,60,86.79,92.93,92.93
500,500,40,70,87.07,93.09,93.09
500,500,40,80,89.71,94.58,94.58
500,500,40,90,87.8,93.5,93.5
10,500,50,0,81.41,89.76,89.76
10,500,50,10,84.33,91.5,91.5
10,500,50,20,83.87,91.23,91.23
10,500,50,30,86.02,92.48,92.48
10,500,50,40,82.87,90.63,90.63
10,500,50,50,82.1,90.17,90.17
10,500,50,60,81.56,89.84,89.84
10,500,50,70,82.88,90.64,90.64
10,500,50,80,83.9,91.24,91.24
10,500,50,90,84.06,91.34,91.34
100,500,50,0,86.32,92.66,92.66
100,500,50,10,86.5,92.76,92.76
100,500,50,20,75.15,85.81,85.81
100,500,50,30,86.66,92.85,92.85
100,500,50,40,85.5,92.18,92.18
100,500,50,50,83.37,90.93,90.93
100,500,50,60,86.06,92.51,92.51
100,500,50,70,85.93,92.43,92.43
100,500,50,80,85.72,92.31,92.31
100,500,50,90,85.61,92.25,92.25
200,500,50,0,85.35,92.1,92.1
200,500,50,10,85.08,91.94,91.94
200,500,50,20,84.69,91.71,91.71
200,500,50,30,88.23,93.74,93.74
200,500,50,40,87.65,93.42,93.42
200,500,50,50,86.57,92.8,92.8
200,500,50,60,88.07,93.66,93.66
200,500,50,70,87.34,93.24,93.24
200,500,50,80,85.46,92.16,92.16
200,500,50,90,85.26,92.04,92.04
500,500,50,0,86.13,92.55,92.55
500,500,50,10,84.57,91.64,91.64
500,500,50,20,85.89,92.41,92.41
500,500,50,30,86.05,92.5,92.5
500,500,50,40,86.63,92.83,92.83
500,500,50,50,86.29,92.64,92.64
500,500,50,60,88.63,93.97,93.97
500,500,50,70,88.71,94.02,94.02
500,500,50,80,89.11,94.24,94.24
500,500,50,90,86.21,92.6,92.6
10,1000,20,0,84.08,91.35,91.35
10,1000,20,10,87.02,93.06,93.06
10,1000,20,20,85.38,92.11,92.11
10,1000,20,30,82.85,90.62,90.62
10,1000,20,40,83.94,91.27,91.27
10,1000,20,50,83.4,90.95,90.95
10,1000,20,60,83.01,90.72,90.72
10,1000,20,70,83.95,91.28,91.28
